id,name_kr,name_en
19371141,임균석,Lim Gyun-seog
19371120,김세곤,Kim Se-gon
19611109,김덕웅,Kim Deog-ung
1962198,김창현,Kim Cang-hyeon
1919193,김기옥,Kim Gi-og
19301100,이창옥,Lee Cang-og
19411164,심대평,Sim Dae-pyeong
19351159,장을규,Jang Eul-gyu
19071113,이정근,Lee Jeong-geun
19241129,이정근,Lee Jeong-geun
1917173,조석래,Cho Seog-rae
1940188,김중태,Kim Jung-tae
19241130,조연하,Cho Yeon-ha
19111217,이선행,Lee Seon-haeng
19231119,조연하,Cho Yeon-ha
1925154,조연하,Cho Yeon-ha
19161214,정남현,Jeong Nam-hyeon
19301101,김상복,Kim Sang-bog
19331127,이재걸,Lee Jae-geol
19361151,이기곤,Lee Gi-gon
19241154,김경의,Kim Gyeong-yi
19521129,윤용호,Yoon Yong-ho
1950189,정형만,Jeong Hyeong-man
19531114,홍관희,Hong Gwan-hyi
1965192,김도균,Kim Do-gyun
1965193,김병욱,Kim Byeong-ug
1916121,황성수,Hwang Seong-su
1950168,황성수,Hwang Seong-su
19491110,한창구,Han Cang-gu
19631102,이정국,Lee Jeong-gug
19401164,박옥재,Park Og-jae
19631103,박광진,Park Gwang-jin
1913112,고영완,Ko Yeong-wan
1924158,고영완,Ko Yeong-wan
19151166,고영완,Ko Yeong-wan
19371152,문숙열,Mun Sug-yeol
1965194,류재선,Ryu Jae-seon
19571132,전덕생,Jeon Deog-saeng
19581119,서영석,Seo Yeong-seog
1945197,홍건표,Hong Geon-pyo
19561114,이근홍,Lee Geun-hong
1969138,김기홍,Kim Gi-hong
19601151,이세종,Lee Se-jong
1965197,조성찬,Cho Seong-can
19161189,유수현,Yu Su-hyeon
1960213,박선희,Park Seon-hyi
19231190,김두철,Kim Du-ceol
19081195,박종면,Park Jong-myeon
198022,박선희,Park Seon-hyi
19251148,용남진,Yong Nam-jin
19301103,송준,Song Jun
19361153,정병원,Jeong Byeong-weon
19491113,송진섭,Song Jin-seob
1944112,우철남,U Ceol-nam
1937136,최영만,Choi Yeong-man
19581121,박주원,Park Ju-weon
1964180,송두영,Song Du-yeong
1950192,차인철,Ca In-ceol
1971215,김선아,Kim Seon-a
1965154,정종호,Jeong Jong-ho
19341150,정종호,Jeong Jong-ho
19631104,진용근,Jin Yong-geun
19611112,박요찬,Park Yo-can
19231121,주도윤,Ju Do-yun
19321118,김공규,Kim Gong-gyu
19341151,박만영,Park Man-yeong
19361152,박자용,Park Ja-yong
19591120,양홍관,Yang Hong-gwan
1964181,김지용,Kim Ji-yong
19581123,윤재수,Yoon Jae-su
1919163,이정휴,Lee Jeong-hyu
19281150,엄용식,Eom Yong-sig
19421182,김태성,Kim Tae-seong
1935157,박종진,Park Jong-jin
1913145,김정두,Kim Jeong-du
19231127,박종진,Park Jong-jin
1934167,박종진,Park Jong-jin
1967148,오일용,Oh Il-yong
19571135,유효근,Yu Hyo-geun
1929196,조시환,Cho Si-hwan
1902158,이만섭,Lee Man-seob
19591123,우호태,U Ho-tae
19421183,신현무,Shin Hyeon-mu
1903121,이원만,Lee Weon-man
19631106,위준상,Wi Jun-sang
19511104,김왕규,Kim Wang-gyu
1966165,백원우,Baeg Weon-u
1915190,김정두,Kim Jeong-du
19081141,배정원,Bae Jeong-weon
19331128,손창술,Son Cang-sul
19181179,김정두,Kim Jeong-du
19381182,강대훈,Kang Dae-hun
1906171,장영모,Jang Yeong-mo
1939140,신동안,Shin Dong-an
19621107,구경서,Gu Gyeong-seo
19551131,정성근,Jeong Seong-geun
19071199,장영모,Jang Yeong-mo
19251150,심의강,Sim Yi-gang
1965199,김종희,Kim Jong-hyi
19481128,우태주,U Tae-ju
1942118,김경기,Kim Gyeong-gi
1972110,윤종군,Yoon Jong-gun
19411176,이동열,Lee Dong-yeol
19371153,이경영,Lee Gyeong-yeong
1930166,김병윤,Kim Byeong-yun
1912111,김병윤,Kim Byeong-yun
19051197,김병윤,Kim Byeong-yun
198711,정선진,Jeong Seon-jin
19351160,김동원,Kim Dong-weon
1910145,김동원,Kim Dong-weon
188317,김동원,Kim Dong-weon
19651100,김문환,Kim Mun-hwan
19361154,조필호,Cho Pil-ho
1921179,조필호,Cho Pil-ho
1920116,조필호,Cho Pil-ho
19611114,이병은,Lee Byeong-eun
19611115,안봉진,Ahn Bong-jin
1964212,김진희,Kim Jin-hyi
1958178,이상무,Lee Sang-mu
191818,이상무,Lee Sang-mu
1903114,이봉준,Lee Bong-jun
1964195,최국태,Choi Gug-tae
19611117,송영철,Song Yeong-ceol
19171207,이봉준,Lee Bong-jun
