sponsor_id,sponsor_name
1,경제과학위원장
2,국회시국대책위원장
3,국회상임위원회위원정수에관한규칙중개정안기초특별위원장
4,국회의원선거법안기초특별위원회위원장
5,산업자원위원장
6,경찰중립화법안기초특별위원장
7,우루과이라운드대책을위한특별위원회위원장
8,한국신문윤리위원회위원장 박우동
9,보건사회위원장
10,독립기념관건립추진위원장
11,위원장
12,민주반역자에대한형사사건임시처리법안기초특별위원장
13,국회상임 위원정수에 관한 규칙개정 특별위원장
14,보건복지가족위원장
15,농림축산식품해양수산위원장
16,국공유지등부정불하진상조사특별위원장
17,기획재정위원장
18,대통령
19,내각책임제개헌안기초특별위원장
20,국회의장(대리)조봉암
21,국회준비위원장
22,민생안정대책특별위원장
23,교통체신위원장 재정경제위원장
24,공항·발전소·액화천연가스인수기지주변대책특별위원장
25,대한적십자사총재
26,김정식의원발언내용규명특별위원회
27,특별조사위원회소집책임자이종형
28,국회의원선거구획정위원장
29,정부
30,교육위원장
31,가축전염병예방법개정특별위원장
32,한국교육방송공사 사장
33,감찰위원회법기초특별위원장
34,국가정보원 댓글 의혹 사건 등의 진상규명을 위한 국정조사특별위원장
35,삼풍백화점붕괴사건조사특별위원장
36,공기업관련대책특별위원장
37,조사위원장
38,한빛은행대출관련의혹사건등의진상조사를위한국정조사특별위원장
39,세계박람회지원특별위원장
40,국가인권위원회
41,양대선거부정조사특별위원장
42,동력자원위원장
43,국정감사처리위원회
44,시국수습대책위원장
45,뉴스통신진흥회 이사장
46,국민방위군의옥사건조사단
47,신문윤리위원회위원장
48,통일부장관
49,2014년평창동계올림픽유치특별위원장
50,국회법및국회상임위원회위원정수에관한규칙개정특별위원장
51,민의원시국대책위원장
52,한보사건국정조사특별위원장
53,12·12군사쿠데타적사건및율곡사업국정소사국방위원장
54,노동환경위원장
55,재정경제위원장·사회보건위원장
56,상공위원장
57,국회상임위원회위원정수에관한규칙개정특별위원회위원장
58,국회개혁특별위원장
59,상공위원장 재무위원장
60,수해대책위원장
61,기후변화협약대책특별위원장
62,한국신문윤리위원회위원장
63,미래창조과학방송통신위원장
64,국회원영위원장
65,내무위원장·사회보건위원장
66,일본자금사전접수증언진상조사특별위원장
67,제도개선특별위원장
68,예산결산특별위원장
69,국토교통위원장
70,국회법개정법률안심사특별위원장
71,사회보건위원장
72,농림해양수산위원장
73,지역감정해소특별위원장
74,독립기념관장
